Date,Adj Close,Close,High,Low,Open,Volume
2023-07-25,1223.77,1242.9,1252.6,1240.0,1247.0,12026020
2023-07-26,1243.66,1263.1,1273.5,1242.5,1242.5,12911012
2023-07-27,1232.09,1251.35,1268.82,1245.18,1267.03,17226898
2023-07-28,1244.47,1263.93,1271.43,1250.28,1256.03,20827852
2023-07-31,1255.0,1274.62,1276.95,1258.97,1263.93,8551174
2023-08-01,1237.26,1256.6,1279.5,1252.65,1277.5,9536632
2023-08-02,1224.04,1243.18,1256.0,1231.8,1254.6,12748214
2023-08-03,1218.89,1237.95,1250.45,1229.03,1237.65,10168350
2023-08-04,1235.46,1254.78,1258.0,1235.8,1249.4,22885610
2023-08-07,1242.5,1261.93,1264.2,1252.5,1260.5,5982870
2023-08-08,1235.02,1254.32,1267.22,1249.78,1264.0,9844072
2023-08-09,1243.16,1262.6,1264.5,1240.55,1252.43,11486586
2023-08-10,1248.7,1268.22,1275.0,1254.22,1262.47,15470598
2023-08-11,1253.97,1273.57,1279.43,1256.18,1266.22,22179330
2023-08-14,1268.79,1288.62,1291.15,1262.5,1269.5,9575812
2023-08-16,1267.75,1287.57,1291.4,1275.5,1275.5,10203112
2023-08-17,1249.47,1269.0,1289.05,1266.43,1283.55,13673744
2023-08-18,1258.72,1278.4,1288.8,1254.28,1265.62,18639978
2023-08-21,1244.99,1260.0,1277.72,1257.82,1269.97,9221746
2023-08-22,1244.69,1259.7,1268.97,1249.5,1258.45,7713044
2023-08-23,1246.07,1261.1,1271.43,1258.47,1262.1,9517952
2023-08-24,1225.13,1239.9,1269.95,1235.5,1269.95,14140020
2023-08-25,1219.47,1234.18,1252.5,1221.3,1228.0,22222400
2023-08-28,1207.32,1221.88,1242.0,1215.55,1236.0,12580826
2023-08-29,1195.76,1210.18,1226.72,1204.07,1226.03,16876644
2023-08-30,1194.62,1209.03,1221.5,1207.5,1216.0,12168946
2023-08-31,1189.16,1203.5,1212.5,1199.95,1211.5,21638600
2023-09-01,1191.95,1206.32,1212.82,1200.82,1203.28,18112842
2023-09-04,1190.99,1205.35,1211.82,1202.65,1206.32,9347626
2023-09-05,1197.36,1211.8,1216.97,1206.22,1210.0,8675876
2023-09-06,1199.88,1214.35,1218.07,1208.62,1210.55,8200370
2023-09-07,1201.51,1216.0,1219.12,1205.5,1210.85,13652572
2023-09-08,1209.51,1224.1,1228.0,1211.47,1220.0,23109288
2023-09-11,1222.56,1237.3,1238.43,1226.0,1226.0,13271074
2023-09-12,1204.89,1219.43,1241.5,1217.97,1241.5,16255666
2023-09-13,1210.92,1225.53,1231.32,1213.12,1220.0,12803338
2023-09-14,1212.03,1226.65,1232.9,1222.5,1230.0,9209636
2023-09-15,1214.28,1228.93,1234.0,1224.75,1234.0,25468592
2023-09-18,1203.71,1218.22,1225.5,1216.03,1220.03,7516300
2023-09-20,1176.88,1191.07,1213.8,1177.5,1211.53,57081884
2023-09-21,1168.31,1182.4,1195.05,1180.0,1187.47,12226182
2023-09-22,1163.44,1177.47,1191.22,1175.0,1188.0,19176786
2023-09-25,1156.28,1170.22,1180.35,1167.55,1175.2,14254884
2023-09-26,1157.29,1171.25,1175.1,1167.8,1169.28,10087782
2023-09-27,1170.34,1184.45,1185.9,1169.25,1171.75,11722778
2023-09-28,1153.14,1167.05,1191.5,1162.5,1191.5,14518346
2023-09-29,1158.53,1172.5,1184.55,1167.05,1170.9,12342014
2023-10-03,1145.26,1159.07,1167.8,1158.0,1164.97,8859056
2023-10-04,1143.29,1157.07,1159.5,1147.55,1154.5,10286386
2023-10-05,1143.26,1157.05,1164.7,1154.5,1159.62,10953682
2023-10-06,1145.19,1159.0,1162.4,1156.03,1158.53,5431026
2023-10-09,1135.43,1149.12,1155.97,1147.5,1154.05,7576878
2023-10-10,1140.45,1154.2,1158.95,1151.88,1153.28,10236032
2023-10-11,1158.55,1172.53,1174.85,1156.5,1157.22,9814118
2023-10-12,1160.7,1174.7,1179.68,1169.07,1171.93,12554450
2023-10-13,1160.65,1174.65,1178.75,1164.57,1170.0,10150316
2023-10-16,1158.06,1172.03,1177.28,1168.0,1172.5,5929036
2023-10-17,1163.59,1177.62,1179.85,1170.65,1178.0,7928180
2023-10-18,1148.15,1162.0,1183.5,1160.5,1177.62,8918320
2023-10-19,1139.34,1153.07,1160.9,1150.5,1156.0,12032556
2023-10-20,1135.85,1149.55,1157.35,1148.15,1150.0,8913312
2023-10-23,1118.12,1131.6,1153.12,1127.62,1145.0,7853962
2023-10-25,1115.52,1128.97,1140.6,1121.5,1125.03,11620688
2023-10-26,1099.98,1113.25,1129.0,1110.15,1125.5,15222534
2023-10-27,1119.4,1132.9,1136.75,1117.97,1120.0,11771084
2023-10-30,1142.47,1156.25,1162.5,1134.97,1137.0,16813304
2023-10-31,1130.32,1143.95,1164.0,1141.45,1164.0,12808438
2023-11-01,1135.01,1148.7,1158.75,1137.6,1144.57,10309190
2023-11-02,1146.28,1160.1,1162.15,1153.97,1156.97,10562104
2023-11-03,1146.03,1159.85,1167.47,1157.88,1163.6,8850156
2023-11-06,1155.56,1169.5,1170.0,1162.8,1166.15,10647304
2023-11-07,1148.06,1161.9,1169.55,1159.78,1167.03,6960204
2023-11-08,1154.03,1167.95,1170.5,1160.88,1166.0,7884494
2023-11-09,1141.51,1155.28,1167.95,1152.1,1167.93,14513610
2023-11-10,1143.66,1157.45,1158.18,1149.03,1152.78,7734954
2023-11-13,1143.51,1157.3,1162.3,1155.85,1161.45,3854810
2023-11-15,1164.19,1178.22,1180.97,1163.5,1170.0,12220648
2023-11-16,1166.29,1180.35,1187.07,1173.47,1175.55,13134910
2023-11-17,1163.74,1177.78,1186.62,1176.03,1176.45,7758634
2023-11-20,1160.68,1174.68,1179.2,1168.2,1174.28,4490186
2023-11-21,1175.28,1189.45,1194.0,1180.1,1183.0,8214450
2023-11-22,1179.87,1194.1,1197.22,1186.1,1187.5,8534814
2023-11-23,1183.48,1197.75,1200.0,1194.1,1194.1,8531542
2023-11-24,1182.69,1196.95,1201.3,1195.53,1195.8,6749486
2023-11-28,1182.93,1197.2,1199.85,1187.62,1196.95,13792174
2023-11-29,1186.05,1200.35,1205.97,1199.03,1204.0,12531306
2023-11-30,1174.56,1188.72,1200.35,1184.95,1197.35,28439984
2023-12-01,1182.89,1197.15,1198.2,1188.8,1189.0,14342842
2023-12-04,1195.68,1210.1,1225.0,1199.3,1225.0,15590990
2023-12-05,1204.35,1218.88,1220.43,1210.82,1219.5,12693624
2023-12-06,1215.89,1230.55,1236.47,1217.5,1223.55,16422442
2023-12-07,1213.89,1228.53,1230.47,1221.0,1230.0,8142096
2023-12-08,1213.24,1227.88,1238.35,1222.5,1231.93,10204894
